,NMDGF,sample_year,NK,taxon_name,intermediate,sex,uncertain_sex,bursa,length_mm_1,length_mm_2,length_mm_3,anterior_width,poserior_width,width_2nd_curve,width_straight_mdpt,mass_trachea+syrinx,segment_count1,segment_count2,taxon.name,tail,wing.chord,anterior.culmen,posterior.culmen,tarsus,data.origin,mass,width_1st_curve,mean_trachea_length,segment_count_mean,County,Date,Age,trachea.diameter,segment_width,prop_trachea,log_mass,mass13,log_mtl,sus,BMI.tars,BMI.trach,BMI.wing,glottis_opening_length,larynx_width,brochus_width,syrnix_length_middle
258,NA,NA,48220,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,509,86.6,102.2,220,NMDGF,4705,NA,668,NA,3,NA,Adult,11.1,NA,0.141976621,3.672559628,16.75662469,2.824776462,chill,10.2071281,1.107123328,1.906836086,,,,
253,NA,NA,48263,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,522,88.2,102.5,262,NMDGF,5825,NA,749,NA,3,NA,Adult,11.8,NA,0.128583691,3.76529593,17.99279547,2.874481818,chill,8.910101393,1.090238698,2.244627207,,,,
254,NA,NA,48661,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,521,87.1,99.3,250,NMDGF,5238,NA,778,NA,3,NA,Adult,11.8,NA,0.148529973,3.719165494,17.36688112,2.890979597,chill,8.79984,0.908647841,2.026186169,,,,
256,NA,NA,48831,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,502,84.4,98.7,212,NMDGF,4854,NA,724,NA,2,NA,Adult,11.4,NA,0.149155336,3.686099772,16.93167501,2.859738566,chill,11.34011214,0.972326089,2.022467897,,,,
255,NA,NA,49343,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,514,97.3,113.8,247,NMDGF,5273,NA,820,NA,2,NA,Adult,12.5,NA,0.155509198,3.722057771,17.40547676,2.913813852,chill,9.075136455,0.823416121,2.09566004,,,,
267,NA,NA,49968,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,459,56.6,67.5,195,NMDGF,3586,NA,636,NA,3,NA,Immature,9.5,NA,0.177356386,3.554610285,15.30629556,2.803457116,chill,9.902169625,0.93086211,1.787204352,,,,
20,NA,2009,170348,Antigone canadensis tabida,NA,F,0,N,721,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4992,NA,721,NA,NA,NA,NA,NA,NA,0.14443109,3.698274577,17.09063473,2.857935265,chill,NA,1.00830831,NA,,,,
21,NA,2009,170349,Antigone canadensis tabida,NA,M,0,NA,788,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5807,NA,788,NA,NA,NA,NA,NA,NA,0.135698295,3.763951826,17.974243,2.896526217,chill,NA,0.981948453,NA,,,,
22,NA,2009,170353,Antigone canadensis tabida,NA,F,0,N,710,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5256,NA,710,NA,NA,NA,NA,NA,NA,0.135083714,3.720655357,17.38675171,2.851258349,chill,NA,1.094782781,NA,,,,
23,NA,2009,170354,Antigone canadensis tabida,NA,M,0,NA,768,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,6121,NA,768,NA,NA,NA,NA,NA,NA,0.125469694,3.786822379,18.29254476,2.88536122,chill,NA,1.089655558,NA,,,,
24,NA,2009,170390,Antigone canadensis tabida,NA,M,0,NA,695,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5155,NA,695,NA,NA,NA,NA,NA,NA,0.134820563,3.71222867,17.27466192,2.841984805,chill,NA,1.120594172,NA,,,,
25,NA,2009,170391,Antigone canadensis canadensis,NA,M,0,NA,677,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3150,NA,677,NA,NA,NA,NA,NA,NA,0.214920635,3.498310554,14.65897209,2.830588669,chill,NA,0.721643186,NA,,,,
26,NA,2009,170392,Antigone canadensis canadensis,NA,F,0,NA,601,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3169,NA,601,NA,NA,NA,NA,NA,NA,0.189649732,3.500922239,14.68838609,2.778874472,chill,NA,0.92121838,NA,,,,
27,NA,2009,170394,Antigone canadensis canadensis,NA,F,0,NA,522,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3033,NA,522,NA,NA,NA,NA,NA,NA,0.172106825,3.48187241,14.47518546,2.717670503,NA,NA,1.168747523,NA,,,,
28,NA,2009,170395,Antigone canadensis tabida,NA,F,0,NA,668,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4705,NA,668,NA,NA,NA,NA,NA,NA,0.141976621,3.672559628,16.75662469,2.824776462,chill,NA,1.107123328,NA,,,,
29,NA,2009,170396,Antigone canadensis tabida,NA,F,0,NA,614,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5165,NA,614,NA,NA,NA,NA,NA,NA,0.118877057,3.713070326,17.28582487,2.788168371,chill,NA,1.438543115,NA,,,,
30,NA,2009,170397,Antigone canadensis canadensis,NA,F,0,NA,492,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,2857,NA,492,NA,NA,NA,NA,NA,NA,0.17220861,3.45591024,14.18959762,2.691965103,NA,NA,1.239279695,NA,,,,
31,NA,2009,170398,Antigone canadensis tabida,NA,F,0,N,724,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,4854,NA,724,NA,NA,NA,NA,NA,NA,0.149155336,3.686099772,16.93167501,2.859738566,chill,NA,0.972326089,NA,,,,
32,NA,2009,170399,Antigone canadensis tabida,NA,M,0,N,785,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,6046,NA,785,NA,NA,NA,NA,NA,NA,0.129837909,3.781468143,18.21752528,2.894869657,chill,NA,1.030191894,NA,,,,
33,NA,2009,170400,Antigone canadensis tabida,NA,M,0,N,800,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,6106,NA,800,NA,NA,NA,NA,NA,NA,0.13101867,3.7857568,18.27759009,2.903089987,chill,NA,1.001765625,NA,,,,
34,NA,2009,170401,Antigone canadensis tabida,NA,M,0,N,749,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5825,NA,749,NA,NA,NA,NA,NA,NA,0.128583691,3.76529593,17.99279547,2.874481818,chill,NA,1.090238698,NA,,,,
35,NA,2009,170402,Antigone canadensis tabida,NA,M,0,N,784,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5691,NA,784,NA,NA,NA,NA,NA,NA,0.137761378,3.755188586,17.85375326,2.894316063,chill,NA,0.972177934,NA,,,,
36,NA,2009,170403,Antigone canadensis tabida,NA,M,0,Y,709,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5334,NA,709,NA,NA,NA,NA,NA,NA,0.132920885,3.727053011,17.47233725,2.850646235,chill,NA,1.114165843,NA,,,,
37,NA,2009,170404,Antigone canadensis canadensis,NA,M,0,Y,636,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3586,NA,636,NA,NA,NA,NA,NA,NA,0.177356386,3.554610285,15.30629556,2.803457116,chill,NA,0.93086211,NA,,,,
38,NA,2009,170405,Antigone canadensis canadensis,NA,F,0,N,580,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3172,NA,580,NA,NA,NA,NA,NA,NA,0.182849937,3.501333179,14.69301965,2.763427994,chill,NA,0.990071344,NA,,,,
39,NA,2009,170406,Antigone canadensis canadensis,NA,M,0,Y,634,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3498,NA,634,NA,NA,NA,NA,NA,NA,0.181246427,3.543819805,15.18005232,2.802089258,chill,NA,0.91375673,NA,,,,
40,NA,2009,170410,Antigone canadensis tabida,NA,M,0,N,802,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5770,NA,802,NA,NA,NA,NA,NA,NA,0.138994801,3.761175813,17.93598661,2.904174368,chill,NA,0.941925112,NA,,,,
41,NA,2009,170411,Antigone canadensis tabida,NA,M,0,N,749,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5814,NA,749,NA,NA,NA,NA,NA,NA,0.128826969,3.764475027,17.9814624,2.874481818,chill,NA,1.088179878,NA,,,,
42,NA,2009,170412,Antigone canadensis tabida,NA,M,0,N,820,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5273,NA,820,NA,NA,NA,NA,NA,NA,0.155509198,3.722057771,17.40547676,2.913813852,chill,NA,0.823416121,NA,,,,
43,NA,2009,170413,Antigone canadensis tabida,NA,F,0,N,692,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,5140,NA,692,NA,NA,NA,NA,NA,NA,0.13463035,3.710963119,17.25789039,2.840106094,chill,NA,1.127042334,NA,,,,
44,NA,2009,170416,Antigone canadensis canadensis,NA,F,0,NA,614,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3222,NA,614,NA,NA,NA,NA,NA,NA,0.190564867,3.508125536,14.76981919,2.788168371,chill,NA,0.897383527,NA,,,,
45,NA,2009,170417,Antigone canadensis canadensis,NA,F,0,N,567,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3480,NA,567,NA,NA,NA,NA,NA,NA,0.162931034,3.541579244,15.1539697,2.753583059,chill,NA,1.136586322,NA,,,,
46,NA,2009,170418,Antigone canadensis canadensis,NA,M,0,N,674,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSB,3318,NA,674,NA,NA,NA,NA,NA,NA,0.203134418,3.520876382,14.91507565,2.828659897,chill,NA,0.766912626,NA,,,,
